City,desktop,mobile,tablet,Total,Per_Desk,Per_Mobile,Per_Tablet
Durham,1470,1572,840,3882,0.378670788253478,0.404945904173107,0.216383307573416
Charlotte,19,785,83,887,0.0214205186020293,0.885005636978579,0.0935738444193912
Raleigh,130,430,102,662,0.196374622356495,0.649546827794562,0.154078549848943
Atlanta,18,277,15,310,0.0580645161290323,0.893548387096774,0.0483870967741935
Franklin,97,120,62,279,0.347670250896057,0.43010752688172,0.222222222222222
Cary,84,49,18,151,0.556291390728477,0.324503311258278,0.119205298013245
Chapel Hill,61,56,20,137,0.445255474452555,0.408759124087591,0.145985401459854
Mebane,36,40,18,94,0.382978723404255,0.425531914893617,0.191489361702128
Winston-Salem,37,41,12,90,0.411111111111111,0.455555555555556,0.133333333333333
Greensboro,34,40,7,81,0.419753086419753,0.493827160493827,0.0864197530864197
Hillsborough,44,14,17,75,0.586666666666667,0.186666666666667,0.226666666666667
New York,11,53,6,70,0.157142857142857,0.757142857142857,0.0857142857142857
Creedmoor,38,16,15,69,0.550724637681159,0.231884057971014,0.217391304347826
Wake Forest,12,21,35,68,0.176470588235294,0.308823529411765,0.514705882352941
Norfolk,3,37,11,51,0.0588235294117647,0.725490196078431,0.215686274509804
Sylva,29,14,5,48,0.604166666666667,0.291666666666667,0.104166666666667
Virginia Beach,0,43,3,46,0,0.934782608695652,0.0652173913043478
Washington,4,29,12,45,0.0888888888888889,0.644444444444444,0.266666666666667
Philadelphia,27,10,0,37,0.72972972972973,0.27027027027027,0
Knightdale,19,15,0,34,0.558823529411765,0.441176470588235,0
Miami,0,33,0,33,0,1,0
Oxford,3,24,1,28,0.107142857142857,0.857142857142857,0.0357142857142857
Clayton,8,9,9,26,0.307692307692308,0.346153846153846,0.346153846153846
Henderson,6,16,3,25,0.24,0.64,0.12
North Druid Hills,4,21,0,25,0.16,0.84,0
Chicago,12,11,0,23,0.521739130434783,0.478260869565217,0
Fayetteville,3,19,1,23,0.130434782608696,0.826086956521739,0.0434782608695652
High Point,5,5,12,22,0.227272727272727,0.227272727272727,0.545454545454545
Orlando,0,21,1,22,0,0.954545454545455,0.0454545454545455
Columbia,7,7,6,20,0.35,0.35,0.3
Blythewood,0,17,2,19,0,0.894736842105263,0.105263157894737
Friendly,0,5,14,19,0,0.263157894736842,0.736842105263158
Dallas,1,17,0,18,0.0555555555555556,0.944444444444444,0
Birmingham,0,17,0,17,0,1,0
Burlington,6,10,1,17,0.352941176470588,0.588235294117647,0.0588235294117647
Myrtle Beach,1,12,4,17,0.0588235294117647,0.705882352941177,0.235294117647059
Williamston,14,3,0,17,0.823529411764706,0.176470588235294,0
Charlottesville,11,5,0,16,0.6875,0.3125,0
Greenville,8,8,0,16,0.5,0.5,0
Wendell,16,0,0,16,1,0,0
Cincinnati,1,11,3,15,0.0666666666666667,0.733333333333333,0.2
Newburgh,0,0,15,15,0,0,1
Corona,3,11,0,14,0.214285714285714,0.785714285714286,0
Hyattsville,14,0,0,14,1,0,0
Nashville,1,11,2,14,0.0714285714285714,0.785714285714286,0.142857142857143
Pittsburgh,1,13,0,14,0.0714285714285714,0.928571428571429,0
Wilmington,7,5,2,14,0.5,0.357142857142857,0.142857142857143
Carrboro,12,1,0,13,0.923076923076923,0.0769230769230769,0
Roxboro,1,7,5,13,0.0769230769230769,0.538461538461538,0.384615384615385
Columbus,6,6,0,12,0.5,0.5,0
Graham,0,11,1,12,0,0.916666666666667,0.0833333333333333
Jacksonville,4,6,2,12,0.333333333333333,0.5,0.166666666666667
Rocky Mount,4,8,0,12,0.333333333333333,0.666666666666667,0
Whiteville,1,9,2,12,0.0833333333333333,0.75,0.166666666666667
Marietta,9,2,0,11,0.818181818181818,0.181818181818182,0
Seattle,0,11,0,11,0,1,0
Apex,4,4,2,10,0.4,0.4,0.2
Cashiers,7,1,2,10,0.7,0.1,0.2
Houston,1,8,1,10,0.1,0.8,0.1
Tysons,0,9,1,10,0,0.9,0.1
Andrews,9,0,0,9,1,0,0
Black Mountain,9,0,0,9,1,0,0
Garner,1,8,0,9,0.111111111111111,0.888888888888889,0
Hampton,4,4,1,9,0.444444444444444,0.444444444444444,0.111111111111111
Ashburn,8,0,0,8,1,0,0
Carrollton,2,6,0,8,0.25,0.75,0
Fearrington,2,3,3,8,0.25,0.375,0.375
Kernersville,0,3,5,8,0,0.375,0.625
Morrisville,8,0,0,8,1,0,0
Roanoke Rapids,3,3,2,8,0.375,0.375,0.25
Saint Charles,1,1,6,8,0.125,0.125,0.75
Smithfield,1,6,1,8,0.125,0.75,0.125
Swannanoa,7,1,0,8,0.875,0.125,0
Tallahassee,0,7,1,8,0,0.875,0.125
Charleston,3,2,2,7,0.428571428571429,0.285714285714286,0.285714285714286
Fort Worth,0,2,5,7,0,0.285714285714286,0.714285714285714
Huntersville,1,3,3,7,0.142857142857143,0.428571428571429,0.428571428571429
Marion,6,1,0,7,0.857142857142857,0.142857142857143,0
Blacksburg,0,2,4,6,0,0.333333333333333,0.666666666666667
Concord,1,5,0,6,0.166666666666667,0.833333333333333,0
Conway,5,1,0,6,0.833333333333333,0.166666666666667,0
Kingstree,6,0,0,6,1,0,0
Murphy,2,3,1,6,0.333333333333333,0.5,0.166666666666667
Newark,1,4,1,6,0.166666666666667,0.666666666666667,0.166666666666667
Panthersville,0,4,2,6,0,0.666666666666667,0.333333333333333
Pittsboro,1,3,2,6,0.166666666666667,0.5,0.333333333333333
Surprise,0,2,4,6,0,0.333333333333333,0.666666666666667
Weaverville,4,1,1,6,0.666666666666667,0.166666666666667,0.166666666666667
Winter Haven,0,4,2,6,0,0.666666666666667,0.333333333333333
Billerica,5,0,0,5,1,0,0
Danville,0,5,0,5,0,1,0
Kansas City,1,4,0,5,0.2,0.8,0
Kennesaw,5,0,0,5,1,0,0
Leland,0,4,1,5,0,0.8,0.2
Los Angeles,0,5,0,5,0,1,0
Mars Hill,5,0,0,5,1,0,0
Mount Laurel,0,5,0,5,0,1,0
Newport News,3,1,1,5,0.6,0.2,0.2
Oklahoma City,4,1,0,5,0.8,0.2,0
Richmond,2,3,0,5,0.4,0.6,0
Spokane Valley,5,0,0,5,1,0,0
Annandale,4,0,0,4,1,0,0
Boone,2,2,0,4,0.5,0.5,0
Brookhaven,4,0,0,4,1,0,0
Burnsville,3,1,0,4,0.75,0.25,0
Candler-McAfee,0,4,0,4,0,1,0
Chantilly,0,2,2,4,0,0.5,0.5
Cherokee,2,2,0,4,0.5,0.5,0
Detroit,0,3,1,4,0,0.75,0.25
Eden,1,3,0,4,0.25,0.75,0
Elkridge,2,2,0,4,0.5,0.5,0
Goldsboro,0,0,4,4,0,0,1
Hickory,3,1,0,4,0.75,0.25,0
Jackson,1,0,3,4,0.25,0,0.75
Louisville,0,3,1,4,0,0.75,0.25
Mobile,0,2,2,4,0,0.5,0.5
Oxon Hill-Glassmanor,0,3,1,4,0,0.75,0.25
Potomac Falls,3,1,0,4,0.75,0.25,0
Reidsville,0,4,0,4,0,1,0
Riverdale,2,2,0,4,0.5,0.5,0
Salisbury,1,1,2,4,0.25,0.25,0.5
San Francisco,0,4,0,4,0,1,0
Savannah,2,2,0,4,0.5,0.5,0
Smyrna,1,3,0,4,0.25,0.75,0
Springfield,2,1,1,4,0.5,0.25,0.25
Swansboro,2,0,2,4,0.5,0,0.5
Tega Cay,4,0,0,4,1,0,0
Welcome,2,2,0,4,0.5,0.5,0
Wilson,3,1,0,4,0.75,0.25,0
Arlington,0,2,1,3,0,0.666666666666667,0.333333333333333
Austin,1,2,0,3,0.333333333333333,0.666666666666667,0
Bethel Park,1,2,0,3,0.333333333333333,0.666666666666667,0
Blue Bell,3,0,0,3,1,0,0
Butner,3,0,0,3,1,0,0
Cherry Hill,0,3,0,3,0,1,0
Cornelius,1,2,0,3,0.333333333333333,0.666666666666667,0
Currituck,0,0,3,3,0,0,1
Dania Beach,1,0,2,3,0.333333333333333,0,0.666666666666667
Efland,2,1,0,3,0.666666666666667,0.333333333333333,0
Emporia,0,3,0,3,0,1,0
Fairport,0,3,0,3,0,1,0
Forest Acres,3,0,0,3,1,0,0
Fort Lauderdale,1,0,2,3,0.333333333333333,0,0.666666666666667
Frisco,0,2,1,3,0,0.666666666666667,0.333333333333333
Fuquay Varina,1,2,0,3,0.333333333333333,0.666666666666667,0
Gloucester County,0,2,1,3,0,0.666666666666667,0.333333333333333
Greensburg,2,1,0,3,0.666666666666667,0.333333333333333,0
Harrison,3,0,0,3,1,0,0
Hayesville,2,0,1,3,0.666666666666667,0,0.333333333333333
Huntsville,0,3,0,3,0,1,0
King,3,0,0,3,1,0,0
Memphis,0,3,0,3,0,1,0
Middletown,3,0,0,3,1,0,0
Mocksville,3,0,0,3,1,0,0
New Haven,0,2,1,3,0,0.666666666666667,0.333333333333333
New Orleans,1,1,1,3,0.333333333333333,0.333333333333333,0.333333333333333
North Decatur,0,3,0,3,0,1,0
North Myrtle Beach,0,3,0,3,0,1,0
Ocean Isle Beach,1,2,0,3,0.333333333333333,0.666666666666667,0
Perry,0,3,0,3,0,1,0
Portland,1,2,0,3,0.333333333333333,0.666666666666667,0
Robbinsville,0,3,0,3,0,1,0
Rochester Hills,3,0,0,3,1,0,0
Rockingham,1,2,0,3,0.333333333333333,0.666666666666667,0
Sandy Springs,2,1,0,3,0.666666666666667,0.333333333333333,0
Sanford,0,2,1,3,0,0.666666666666667,0.333333333333333
Siler City,1,0,2,3,0.333333333333333,0,0.666666666666667
Tampa,0,2,1,3,0,0.666666666666667,0.333333333333333
Timberlake,1,2,0,3,0.333333333333333,0.666666666666667,0
West Springfield,0,3,0,3,0,1,0
Youngstown,2,1,0,3,0.666666666666667,0.333333333333333,0
Zebulon,3,0,0,3,1,0,0
Bailey,0,1,1,2,0,0.5,0.5
Boston,0,2,0,2,0,1,0
Brasstown,2,0,0,2,1,0,0
Clarksville,0,2,0,2,0,1,0
Clover,2,0,0,2,1,0,0
Cullowhee,1,1,0,2,0.5,0.5,0
Dock Junction,0,2,0,2,0,1,0
Dublin,2,0,0,2,1,0,0
Elm City,2,0,0,2,1,0,0
Forsyth,0,2,0,2,0,1,0
Holden Beach,1,1,0,2,0.5,0.5,0
Irondale,0,2,0,2,0,1,0
Kinston,0,1,1,2,0,0.5,0.5
Knoxville,1,0,1,2,0.5,0,0.5
Las Vegas,0,2,0,2,0,1,0
Laurinburg,0,2,0,2,0,1,0
Longview,0,2,0,2,0,1,0
Macon,0,2,0,2,0,1,0
Marvin,0,1,1,2,0,0.5,0.5
Matthews,0,0,2,2,0,0,1
Merritt Island,2,0,0,2,1,0,0
Miami Beach,0,2,0,2,0,1,0
Miramar,1,0,1,2,0.5,0,0.5
Mount Vernon,1,0,1,2,0.5,0,0.5
Myrtle Grove,0,2,0,2,0,1,0
New Bern,0,1,1,2,0,0.5,0.5
Newnan,0,2,0,2,0,1,0
North Charleston,0,2,0,2,0,1,0
Oranjestad,0,1,1,2,0,0.5,0.5
Overland Park,2,0,0,2,1,0,0
Peekskill,1,1,0,2,0.5,0.5,0
Phillipsburg,2,0,0,2,1,0,0
Poughkeepsie,0,2,0,2,0,1,0
Providence,1,1,0,2,0.5,0.5,0
Roanoke,0,2,0,2,0,1,0
Saint-Brieuc,1,1,0,2,0.5,0.5,0
San Diego,0,2,0,2,0,1,0
Saxapahaw,0,0,2,2,0,0,1
Senatobia,0,1,1,2,0,0.5,0.5
St. Louis,0,2,0,2,0,1,0
Stafford,0,1,1,2,0,0.5,0.5
Suitland-Silver Hill,1,1,0,2,0.5,0.5,0
Tyler,0,2,0,2,0,1,0
Upper Marlboro,2,0,0,2,1,0,0
Waco,1,1,0,2,0.5,0.5,0
Whittier,2,0,0,2,1,0,0
Addis,0,1,0,1,0,1,0
Allentown,0,1,0,1,0,1,0
Anderson,0,1,0,1,0,1,0
Angier,0,1,0,1,0,1,0
Ann Arbor,0,1,0,1,0,1,0
Antigo,1,0,0,1,1,0,0
Asheville,0,1,0,1,0,1,0
Athens,0,1,0,1,0,1,0
Augusta,0,1,0,1,0,1,0
Baltimore,1,0,0,1,1,0,0
Bay Minette,1,0,0,1,1,0,0
Bay Saint Louis,1,0,0,1,1,0,0
Belhaven,1,0,0,1,1,0,0
Bellingham,0,1,0,1,0,1,0
Bennettsville,0,0,1,1,0,0,1
Benson,1,0,0,1,1,0,0
Berkeley,1,0,0,1,1,0,0
Boulder,0,0,1,1,0,0,1
Bowie,0,1,0,1,0,1,0
Branson,0,1,0,1,0,1,0
Brentwood,1,0,0,1,1,0,0
Bristol,0,1,0,1,0,1,0
Buena Park,0,1,0,1,0,1,0
Buies Creek,1,0,0,1,1,0,0
Camp Springs,0,1,0,1,0,1,0
Candler,0,1,0,1,0,1,0
Canonsburg,1,0,0,1,1,0,0
Cape Girardeau,0,1,0,1,0,1,0
Carolina Forest,0,1,0,1,0,1,0
Carolina Shores,0,0,1,1,0,0,1
Catonsville,0,1,0,1,0,1,0
Cedar Rapids,1,0,0,1,1,0,0
Chandler,0,1,0,1,0,1,0
Chattanooga,0,1,0,1,0,1,0
Chester,0,1,0,1,0,1,0
Churchville,1,0,0,1,1,0,0
Clemmons,0,1,0,1,0,1,0
Clemson,0,1,0,1,0,1,0
Cleveland,1,0,0,1,1,0,0
Colonial Heights,0,1,0,1,0,1,0
Conyers,0,1,0,1,0,1,0
Cumming,0,1,0,1,0,1,0
Dale City,1,0,0,1,1,0,0
Daphne,0,1,0,1,0,1,0
DeFuniak Springs,0,1,0,1,0,1,0
Destin,0,1,0,1,0,1,0
Dubai,0,1,0,1,0,1,0
Duck,0,0,1,1,0,0,1
Duluth,0,1,0,1,0,1,0
East Orange,0,1,0,1,0,1,0
East Point,0,1,0,1,0,1,0
Easton,1,0,0,1,1,0,0
El Paso,0,1,0,1,0,1,0
Elizabeth City,0,1,0,1,0,1,0
Fairhope,1,0,0,1,1,0,0
Fairmont,0,1,0,1,0,1,0
Farmville,0,1,0,1,0,1,0
Flint Township,0,1,0,1,0,1,0
Florence,0,1,0,1,0,1,0
Fort Bragg,0,1,0,1,0,1,0
Frankfort,0,1,0,1,0,1,0
Franklinton,0,1,0,1,0,1,0
Gainesville,1,0,0,1,1,0,0
Gatesville,1,0,0,1,1,0,0
Gatlinburg,0,0,1,1,0,0,1
Geneseo,1,0,0,1,1,0,0
Glen Allen,0,1,0,1,0,1,0
Gloucester Point,0,0,1,1,0,0,1
Greer,0,0,1,1,0,0,1
Harleysville,0,1,0,1,0,1,0
Hartford,0,1,0,1,0,1,0
Hialeah,0,1,0,1,0,1,0
High Wycombe,0,1,0,1,0,1,0
Hinesville,1,0,0,1,1,0,0
Hiram,0,1,0,1,0,1,0
Holly Ridge,0,1,0,1,0,1,0
Hollywood,0,0,1,1,0,0,1
Honolulu,0,0,1,1,0,0,1
Hope Mills,0,0,1,1,0,0,1
Huntington,0,0,1,1,0,0,1
Indianapolis,0,1,0,1,0,1,0
Indore,0,1,0,1,0,1,0
Irving,1,0,0,1,1,0,0
Iwakuni,0,1,0,1,0,1,0
Jasper,0,1,0,1,0,1,0
Jersey City,0,1,0,1,0,1,0
Johnson City,0,1,0,1,0,1,0
Kamloops,0,1,0,1,0,1,0
Kenner,0,1,0,1,0,1,0
Kettering,1,0,0,1,1,0,0
Kilgore,0,1,0,1,0,1,0
Kill Devil Hills,0,1,0,1,0,1,0
Kittrell,0,1,0,1,0,1,0
Kokomo,0,1,0,1,0,1,0
LaGrange,0,1,0,1,0,1,0
Lake City,0,1,0,1,0,1,0
Lancaster,0,1,0,1,0,1,0
Lawrenceville,0,1,0,1,0,1,0
Leesburg,1,0,0,1,1,0,0
Lexington,0,1,0,1,0,1,0
Ligonier,1,0,0,1,1,0,0
Lititz,1,0,0,1,1,0,0
Loganville,0,1,0,1,0,1,0
London,0,1,0,1,0,1,0
Lorton,0,0,1,1,0,0,1
Lusaka,0,1,0,1,0,1,0
Madison,0,1,0,1,0,1,0
Manning,0,1,0,1,0,1,0
Marine Corps Air Station Cherry Point,0,1,0,1,0,1,0
Marlboro,0,0,1,1,0,0,1
Mayfield,0,1,0,1,0,1,0
McDonough,0,1,0,1,0,1,0
McGaheysville,0,0,1,1,0,0,1
Mesquite,0,1,0,1,0,1,0
Millington,0,1,0,1,0,1,0
Missouri City,0,1,0,1,0,1,0
Monessen,0,0,1,1,0,0,1
Monroe,1,0,0,1,1,0,0
Montclair,0,0,1,1,0,0,1
Montego Bay,0,1,0,1,0,1,0
Montgomery,0,1,0,1,0,1,0
Mount Pleasant,0,0,1,1,0,0,1
Mountville,0,0,1,1,0,0,1
New Caney,0,1,0,1,0,1,0
New Castle,0,1,0,1,0,1,0
New Kensington,1,0,0,1,1,0,0
North Plainfield,1,0,0,1,1,0,0
Norwalk,0,0,1,1,0,0,1
Oak Harbor,0,1,0,1,0,1,0
Oak Island,1,0,0,1,1,0,0
Oakland,0,1,0,1,0,1,0
Oakton,0,1,0,1,0,1,0
Okaloosa Island,0,1,0,1,0,1,0
Olathe,0,0,1,1,0,0,1
Omaha,0,0,1,1,0,0,1
Ontario,0,1,0,1,0,1,0
Orangeburg,1,0,0,1,1,0,0
Otto,1,0,0,1,1,0,0
Oviedo,1,0,0,1,1,0,0
Palmetto Bay,0,1,0,1,0,1,0
Panama City,0,1,0,1,0,1,0
Phelan,1,0,0,1,1,0,0
Phenix City,0,1,0,1,0,1,0
Pinellas Park,0,1,0,1,0,1,0
Pinetown,1,0,0,1,1,0,0
Pittsburg,0,1,0,1,0,1,0
Plano,0,1,0,1,0,1,0
Plymouth Meeting,1,0,0,1,1,0,0
Pompano Beach,0,1,0,1,0,1,0
Pontotoc,0,1,0,1,0,1,0
Port Wentworth,1,0,0,1,1,0,0
Raeford,0,1,0,1,0,1,0
Rahway,0,1,0,1,0,1,0
Redan,0,1,0,1,0,1,0
Redmond,0,1,0,1,0,1,0
Reston,0,1,0,1,0,1,0
Reynoldsburg,0,1,0,1,0,1,0
Richlands,0,1,0,1,0,1,0
Richmond Hill,0,1,0,1,0,1,0
Roodepoort,0,1,0,1,0,1,0
Rosenberg,0,0,1,1,0,0,1
Roswell,0,0,1,1,0,0,1
Schiller Park,0,1,0,1,0,1,0
Seabrook,0,1,0,1,0,1,0
Selma,1,0,0,1,1,0,0
Shallotte,0,1,0,1,0,1,0
Shelby,0,1,0,1,0,1,0
Shreveport,0,1,0,1,0,1,0
Singapore,1,0,0,1,1,0,0
Slidell,1,0,0,1,1,0,0
Socastee,0,0,1,1,0,0,1
Sound Beach,0,1,0,1,0,1,0
Spartanburg,0,1,0,1,0,1,0
Spokane,1,0,0,1,1,0,0
Spotsylvania Courthouse,0,1,0,1,0,1,0
Spring Hope,0,1,0,1,0,1,0
Sterling,1,0,0,1,1,0,0
Stockbridge,0,1,0,1,0,1,0
Stoneville,1,0,0,1,1,0,0
Sumter,1,0,0,1,1,0,0
Suwanee,1,0,0,1,1,0,0
Tel Aviv-Yafo,0,0,1,1,0,0,1
Texarkana,0,1,0,1,0,1,0
Tiberias,0,0,1,1,0,0,1
Totowa,0,1,0,1,0,1,0
Valley Center,0,1,0,1,0,1,0
Vandalia,1,0,0,1,1,0,0
Virgilina,0,1,0,1,0,1,0
Walterboro,0,0,1,1,0,0,1
Warrenton,1,0,0,1,1,0,0
Waterbury,0,1,0,1,0,1,0
Wautoma,0,1,0,1,0,1,0
Waynesville,0,1,0,1,0,1,0
West Lafayette,0,0,1,1,0,0,1
Wheaton-Glenmont,1,0,0,1,1,0,0
White Plains,0,0,1,1,0,0,1
Whitsett,0,0,1,1,0,0,1
Williamsburg,0,1,0,1,0,1,0
Woodfin,0,1,0,1,0,1,0
Woodstock,1,0,0,1,1,0,0
York,0,0,1,1,0,0,1
Yukon,1,0,0,1,1,0,0
