City,Source,Users,New.Users,Sessions,Bounce.Rate,Pages...Session,Avg..Session.Duration,Goal.Conversion.Rate,Goal.Completions,Goal.Value,Date
(not set),google,3,3,4,75.00%,1.75,0:03:21,0.00%,0,$0.00 ,20180902
Orlando,google,3,0,3,33.33%,3,0:04:10,0.00%,0,$0.00 ,20180902
Orlando,myubc.org,3,2,3,33.33%,3,0:01:44,0.00%,0,$0.00 ,20180902
Cary,google,3,0,5,20.00%,1.8,0:07:35,0.00%,0,$0.00 ,20180902
Chapel Hill,google,3,2,3,66.67%,1.33,0:00:18,0.00%,0,$0.00 ,20180902
Wake Forest,google,3,2,4,75.00%,1.25,0:00:23,0.00%,0,$0.00 ,20180902
Williamston,(direct),3,1,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Norfolk,myubc.org,3,1,3,0.00%,4,0:02:54,0.00%,0,$0.00 ,20180902
Mobile,myubc.org,2,2,3,33.33%,2,0:00:51,0.00%,0,$0.00 ,20180902
Corona,myubc.org,2,1,2,0.00%,5.5,0:09:54,0.00%,0,$0.00 ,20180902
Savannah,myubc.org,2,0,5,0.00%,7.6,0:28:51,0.00%,0,$0.00 ,20180902
Charlotte,yahoo,2,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Franklin,google,2,0,2,50.00%,2.5,0:06:05,0.00%,0,$0.00 ,20180902
Franklin,myubc.org,2,1,2,0.00%,2.5,0:04:02,0.00%,0,$0.00 ,20180902
Hickory,bing,2,2,2,50.00%,1.5,0:00:22,0.00%,0,$0.00 ,20180902
Hillsborough,myubc.org,2,1,2,0.00%,2,0:00:07,0.00%,0,$0.00 ,20180902
Raleigh,bing,2,1,6,83.33%,1.67,0:03:06,0.00%,0,$0.00 ,20180902
Wake Forest,myubc.org,2,0,2,50.00%,1.5,0:00:08,0.00%,0,$0.00 ,20180902
Carrollton,myubc.org,2,1,3,33.33%,5.33,0:06:39,0.00%,0,$0.00 ,20180902
Saint Charles,myubc.org,2,2,2,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180902
(not set),myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Mobile,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Chandler,myubc.org,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180902
Berkeley,(direct),1,1,1,0.00%,2,0:00:10,0.00%,0,$0.00 ,20180902
Oakland,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Pittsburg,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Hartford,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Middletown,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Washington,google,1,1,1,0.00%,7,0:09:48,0.00%,0,$0.00 ,20180902
Clayton,bing,1,0,2,50.00%,3.5,0:13:43,0.00%,0,$0.00 ,20180902
Clayton,yahoo,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Miami Beach,google,1,0,1,0.00%,3,0:29:41,0.00%,0,$0.00 ,20180902
Atlanta,cvriskcalculator.com,1,0,1,0.00%,6,0:03:49,0.00%,0,$0.00 ,20180902
Columbus,myubc.org,1,0,1,0.00%,2,0:00:25,0.00%,0,$0.00 ,20180902
Savannah,bing,1,1,1,0.00%,2,0:05:29,0.00%,0,$0.00 ,20180902
Savannah,google,1,0,1,0.00%,2,0:02:58,0.00%,0,$0.00 ,20180902
Honolulu,myubc.org,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 ,20180902
Shreveport,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Billerica,bing,1,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Billerica,myubc.org,1,0,4,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Boston,(direct),1,0,3,66.67%,1.33,0:03:09,0.00%,0,$0.00 ,20180902
Hyattsville,(direct),1,0,1,0.00%,2,0:00:06,0.00%,0,$0.00 ,20180902
Black Mountain,myubc.org,1,0,2,0.00%,2,0:00:39,0.00%,0,$0.00 ,20180902
Black Mountain,yahoo,1,0,1,0.00%,3,0:04:16,0.00%,0,$0.00 ,20180902
Cherokee,(direct),1,1,1,0.00%,10,0:08:18,0.00%,0,$0.00 ,20180902
Clemmons,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Creedmoor,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Creedmoor,myubc.org,1,0,2,0.00%,4,0:20:44,0.00%,0,$0.00 ,20180902
Fayetteville,(direct),1,1,1,0.00%,3,0:01:38,0.00%,0,$0.00 ,20180902
Fayetteville,gospelmusicfever.blogspot.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Franklin,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Goldsboro,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Goldsboro,myubc.org,1,1,1,0.00%,4,0:21:10,0.00%,0,$0.00 ,20180902
Graham,(direct),1,0,1,0.00%,6,0:07:59,0.00%,0,$0.00 ,20180902
Graham,google,1,0,1,0.00%,5,0:09:18,0.00%,0,$0.00 ,20180902
Greensboro,google,1,0,2,50.00%,1.5,0:03:24,0.00%,0,$0.00 ,20180902
Greensboro,myubc.org,1,1,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180902
Hayesville,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Hickory,facebook.com,1,0,1,0.00%,2,0:00:52,0.00%,0,$0.00 ,20180902
High Point,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Hillsborough,bing,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Hillsborough,google,1,0,2,50.00%,1.5,0:00:03,0.00%,0,$0.00 ,20180902
Jacksonville,google,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Kernersville,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Knightdale,myubc.org,1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 ,20180902
Morrisville,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Murphy,myubc.org,1,0,1,0.00%,4,0:13:44,0.00%,0,$0.00 ,20180902
Oxford,(direct),1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 ,20180902
Rocky Mount,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Roxboro,(direct),1,1,2,0.00%,5,0:09:36,0.00%,0,$0.00 ,20180902
Roxboro,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Salisbury,m.facebook.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Selma,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Sylva,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Sylva,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Timberlake,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Wake Forest,bing,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Whiteville,google,1,1,2,0.00%,2,0:12:27,0.00%,0,$0.00 ,20180902
Whiteville,myubc.org,1,0,2,50.00%,1.5,0:00:04,0.00%,0,$0.00 ,20180902
Winston-Salem,google,1,0,1,0.00%,2,0:01:24,0.00%,0,$0.00 ,20180902
Cherry Hill,(direct),1,0,2,50.00%,1.5,0:01:46,0.00%,0,$0.00 ,20180902
Mount Laurel,myubc.org,1,0,2,0.00%,4,0:06:22,0.00%,0,$0.00 ,20180902
Newark,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Las Vegas,yahoo,1,1,1,0.00%,3,0:02:14,0.00%,0,$0.00 ,20180902
New York,myubc.org,1,0,1,0.00%,2,0:00:33,0.00%,0,$0.00 ,20180902
Newburgh,google,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 ,20180902
Cincinnati,(direct),1,1,1,0.00%,2,0:03:07,0.00%,0,$0.00 ,20180902
Cincinnati,myubc.org,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Cleveland,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Canonsburg,facebook.com,1,1,1,0.00%,4,0:28:01,0.00%,0,$0.00 ,20180902
Philadelphia,(direct),1,0,1,0.00%,3,0:16:46,0.00%,0,$0.00 ,20180902
Philadelphia,bing,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Philadelphia,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Pittsburgh,m.facebook.com,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Andrews,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Blythewood,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Conway,(direct),1,0,2,50.00%,1.5,0:02:17,0.00%,0,$0.00 ,20180902
Myrtle Beach,myubc.org,1,1,3,66.67%,1.33,0:00:04,0.00%,0,$0.00 ,20180902
North Myrtle Beach,myubc.org,1,0,2,0.00%,6,0:11:51,0.00%,0,$0.00 ,20180902
Nashville,myubc.org,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Dallas,myubc.org,1,0,2,50.00%,5,0:04:31,0.00%,0,$0.00 ,20180902
Fort Worth,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Houston,(direct),1,1,1,0.00%,3,0:00:20,0.00%,0,$0.00 ,20180902
New Caney,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Tyler,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Charlottesville,bing,1,0,2,50.00%,1.5,0:03:08,0.00%,0,$0.00 ,20180902
Danville,m.facebook.com,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Hampton,google,1,1,1,0.00%,2,0:01:08,0.00%,0,$0.00 ,20180902
Norfolk,(direct),1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180902
Virginia Beach,(direct),1,0,1,0.00%,12,1:03:04,0.00%,0,$0.00 ,20180902
Fearrington,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Fearrington,myubc.org,1,0,2,50.00%,1.5,0:00:04,0.00%,0,$0.00 ,20180902
Fearrington,yahoo,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Friendly,(direct),1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180902
Friendly,google,1,1,1,0.00%,2,0:00:33,0.00%,0,$0.00 ,20180902
Friendly,myubc.org,1,1,1,0.00%,3,0:28:59,0.00%,0,$0.00 ,20180902
Holden Beach,myubc.org,1,0,1,0.00%,2,0:00:08,0.00%,0,$0.00 ,20180902
Richlands,(direct),1,0,1,0.00%,3,0:00:47,0.00%,0,$0.00 ,20180902
Richlands,myubc.org,1,0,1,0.00%,2,0:18:57,0.00%,0,$0.00 ,20180902
Saxapahaw,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Spokane Valley,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
,,408,165,542,45.94%,2.42,0:04:26,0.00%,0,$0.00 ,20180902
(not set),(direct),3,1,3,66.67%,1.67,0:04:10,0.00%,0,$0.00 ,20180909
Huntsville,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Washington,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Miami,(direct),1,1,1,0.00%,2,0:03:05,0.00%,0,$0.00 ,20180909
Atlanta,(direct),4,2,4,50.00%,1.75,0:02:04,0.00%,0,$0.00 ,20180909
Schiller Park,(direct),1,1,2,50.00%,2,0:00:22,0.00%,0,$0.00 ,20180909
Hyattsville,(direct),1,0,1,0.00%,2,0:00:10,0.00%,0,$0.00 ,20180909
Burlington,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Cary,(direct),4,4,4,75.00%,1.25,0:00:05,0.00%,0,$0.00 ,20180909
Charlotte,(direct),12,5,14,57.14%,2.07,0:03:51,0.00%,0,$0.00 ,20180909
Concord,(direct),1,1,1,0.00%,3,0:01:43,0.00%,0,$0.00 ,20180909
Durham,(direct),40,14,55,58.18%,2,0:02:10,0.00%,0,$0.00 ,20180909
Fayetteville,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Franklin,(direct),4,1,4,25.00%,1.75,0:04:14,0.00%,0,$0.00 ,20180909
Hickory,(direct),1,0,1,0.00%,2,0:28:37,0.00%,0,$0.00 ,20180909
Marion,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Oxford,(direct),1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Pittsboro,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Raleigh,(direct),9,2,11,63.64%,1.82,0:03:34,0.00%,0,$0.00 ,20180909
Rocky Mount,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Sylva,(direct),2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Winston-Salem,(direct),2,0,2,50.00%,3.5,0:00:48,0.00%,0,$0.00 ,20180909
New York,(direct),2,2,2,50.00%,1.5,0:01:04,0.00%,0,$0.00 ,20180909
Philadelphia,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Providence,(direct),1,1,1,0.00%,5,0:07:57,0.00%,0,$0.00 ,20180909
Blythewood,(direct),1,0,1,0.00%,2,0:01:03,0.00%,0,$0.00 ,20180909
Columbia,(direct),1,0,1,0.00%,3,0:00:38,0.00%,0,$0.00 ,20180909
Myrtle Beach,(direct),2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Norfolk,(direct),2,1,4,25.00%,2.75,0:02:01,0.00%,0,$0.00 ,20180909
Roodepoort,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Lusaka,(direct),1,0,2,0.00%,2.5,0:09:13,0.00%,0,$0.00 ,20180909
Friendly,(direct),1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180909
Panthersville,(direct),1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Port Wentworth,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
West Springfield,(direct),1,0,1,0.00%,5,0:07:18,0.00%,0,$0.00 ,20180909
Clayton,bing,1,0,1,0.00%,3,0:05:51,0.00%,0,$0.00 ,20180909
Black Mountain,bing,1,0,2,50.00%,1.5,0:00:31,0.00%,0,$0.00 ,20180909
Cashiers,bing,1,0,5,80.00%,1.2,0:00:05,0.00%,0,$0.00 ,20180909
Creedmoor,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Durham,bing,9,5,9,66.67%,1.56,0:04:53,0.00%,0,$0.00 ,20180909
Hillsborough,bing,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Marion,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Raleigh,bing,3,0,8,75.00%,1.25,0:00:37,0.00%,0,$0.00 ,20180909
Providence,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Andrews,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Durham,dnserrorassist.att.net,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
(not set),google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Saint-Brieuc,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Huntsville,google,1,1,2,0.00%,4,0:07:47,0.00%,0,$0.00 ,20180909
Corona,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Washington,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Tallahassee,google,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Atlanta,google,3,1,4,75.00%,2,0:08:39,0.00%,0,$0.00 ,20180909
Cary,google,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Chapel Hill,google,2,0,4,75.00%,1.25,0:00:22,0.00%,0,$0.00 ,20180909
Charlotte,google,15,3,28,71.43%,1.79,0:02:01,0.00%,0,$0.00 ,20180909
Cornelius,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Durham,google,61,33,68,64.71%,1.81,0:03:16,0.00%,0,$0.00 ,20180909
Franklin,google,2,0,2,50.00%,1.5,0:07:19,0.00%,0,$0.00 ,20180909
Greensboro,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Henderson,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Hillsborough,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Jacksonville,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Raleigh,google,15,5,20,75.00%,1.55,0:02:08,0.00%,0,$0.00 ,20180909
Timberlake,google,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Wake Forest,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Warrenton,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Wendell,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Winston-Salem,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Omaha,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
New York,google,1,0,1,0.00%,3,0:13:04,0.00%,0,$0.00 ,20180909
Newburgh,google,1,0,2,50.00%,1.5,0:00:11,0.00%,0,$0.00 ,20180909
Cincinnati,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Columbus,google,1,1,1,0.00%,4,0:06:07,0.00%,0,$0.00 ,20180909
Gainesville,google,1,0,1,0.00%,5,0:01:53,0.00%,0,$0.00 ,20180909
Hampton,google,1,0,2,50.00%,1.5,0:01:07,0.00%,0,$0.00 ,20180909
Virginia Beach,google,1,0,1,0.00%,2,0:07:45,0.00%,0,$0.00 ,20180909
Wake Forest,m.facebook.com,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Pittsburgh,m.facebook.com,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
(not set),myubc.org,1,1,1,0.00%,2,0:01:28,0.00%,0,$0.00 ,20180909
Saint-Brieuc,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Birmingham,myubc.org,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180909
Huntsville,myubc.org,1,0,1,0.00%,3,0:04:55,0.00%,0,$0.00 ,20180909
Ontario,myubc.org,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180909
Clayton,myubc.org,1,0,1,0.00%,10,0:07:43,0.00%,0,$0.00 ,20180909
Atlanta,myubc.org,3,0,4,75.00%,2,0:05:45,0.00%,0,$0.00 ,20180909
Chicago,myubc.org,1,1,1,0.00%,2,0:00:36,0.00%,0,$0.00 ,20180909
Black Mountain,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Burnsville,myubc.org,1,0,1,0.00%,2,0:00:08,0.00%,0,$0.00 ,20180909
Cary,myubc.org,1,0,1,0.00%,6,0:15:33,0.00%,0,$0.00 ,20180909
Chapel Hill,myubc.org,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 ,20180909
Charlotte,myubc.org,17,8,24,20.83%,2.5,0:04:48,0.00%,0,$0.00 ,20180909
Clayton,myubc.org,3,2,3,0.00%,3.67,0:05:41,0.00%,0,$0.00 ,20180909
Creedmoor,myubc.org,1,0,2,0.00%,4,0:11:26,0.00%,0,$0.00 ,20180909
Durham,myubc.org,48,16,57,17.54%,3.7,0:06:02,0.00%,0,$0.00 ,20180909
Efland,myubc.org,1,1,1,0.00%,3,0:04:55,0.00%,0,$0.00 ,20180909
Fayetteville,myubc.org,1,1,1,0.00%,4,0:22:28,0.00%,0,$0.00 ,20180909
Franklin,myubc.org,4,3,5,0.00%,2.2,0:00:18,0.00%,0,$0.00 ,20180909
Greensboro,myubc.org,2,2,2,0.00%,3,0:10:48,0.00%,0,$0.00 ,20180909
Hillsborough,myubc.org,2,1,2,0.00%,2.5,0:01:29,0.00%,0,$0.00 ,20180909
Mebane,myubc.org,3,0,3,0.00%,2.33,0:00:53,0.00%,0,$0.00 ,20180909
Raleigh,myubc.org,7,2,9,33.33%,2.11,0:02:55,0.00%,0,$0.00 ,20180909
Salisbury,myubc.org,1,1,1,0.00%,3,0:01:14,0.00%,0,$0.00 ,20180909
Sylva,myubc.org,2,1,2,0.00%,2,0:02:04,0.00%,0,$0.00 ,20180909
Winston-Salem,myubc.org,1,0,2,50.00%,2.5,0:01:51,0.00%,0,$0.00 ,20180909
Mount Vernon,myubc.org,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180909
Cincinnati,myubc.org,1,1,1,0.00%,2,0:00:09,0.00%,0,$0.00 ,20180909
Columbus,myubc.org,1,0,1,0.00%,2,0:00:21,0.00%,0,$0.00 ,20180909
Myrtle Beach,myubc.org,2,2,2,0.00%,2,0:00:41,0.00%,0,$0.00 ,20180909
Norfolk,myubc.org,2,1,2,0.00%,4,0:06:16,0.00%,0,$0.00 ,20180909
Rocky Mount,outlook.live.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Black Mountain,yahoo,1,0,1,0.00%,6,0:03:47,0.00%,0,$0.00 ,20180909
Chapel Hill,yahoo,1,0,2,0.00%,7.5,0:13:25,0.00%,0,$0.00 ,20180909
Durham,yahoo,5,2,7,71.43%,1.86,0:03:20,0.00%,0,$0.00 ,20180909
Efland,yahoo,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Raleigh,yahoo,2,1,2,50.00%,2,0:00:58,0.00%,0,$0.00 ,20180909
Winston-Salem,yahoo,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
,,381,157,476,51.47%,2.16,0:03:12,0.00%,0,$0.00 ,20180909
